Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,AERONEU,EQ,AEROFLEX NEU LIMITED     ,Listed    ,05 FEB 2026,              10.00,          25796000,             71.60,     1847251560.00   
05 FEB 2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,05 FEB 2026,              10.00,          17220175,            101.95,     1755596841.25 
05 FEB 2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,05 FEB 2026,              10.00,         132612818,           1022.00,   135530299996.00    
05 FEB 2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,05 FEB 2026,              10.00,         367784631,            338.45,   124476708361.95    
05 FEB 2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,05 FEB 2026,               2.00,         140695134,           1663.30,   234018216382.20     
05 FEB 2026,AFFORDABLE,EQ,AFFORD ROBO & AUTO LTD   ,Listed    ,05 FEB 2026,              10.00,          11246266,            190.55,     2143088448.95
05 FEB 2026,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,05 FEB 2026,               1.00,         426749960,              5.30,     2266042287.60      
05 FEB 2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,05 FEB 2026,               2.00,          50658840,            201.30,    10198637668.80      
05 FEB 2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,05 FEB 2026,              10.00,          14957789,            722.90,    10812985668.10   
05 FEB 2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,05 FEB 2026,               1.00,         316470002,            456.45,   144452732412.90
05 FEB 2026,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,02 FEB 2026,              10.00,           7243488,             31.00,      224548128.00 
05 FEB 2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,05 FEB 2026,              10.00,          17674600,            100.50,     1776297300.00
05 FEB 2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,05 FEB 2026,               2.00,          64697381,            593.75,    38414069968.75       
05 FEB 2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,05 FEB 2026,               1.00,         122167200,            252.50,    30847218000.00     
05 FEB 2026,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,05 FEB 2026,              10.00,          19534800,             18.95,      370184460.00      
05 FEB 2026,AGRITECH,BE,AGRI-TECH (INDIA) LIMITED,Listed    ,05 FEB 2026,              10.00,           5940000,            136.00,      807899400.00  
05 FEB 2026,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,05 FEB 2026,              10.00,          20274115,             36.05,      731084586.90  
05 FEB 2026,AGSTRA,BZ,AGS TRANSACT TECH LTD    ,Listed    ,05 FEB 2026,              10.00,         128433076,              3.85,      494467342.60    
05 FEB 2026,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,05 FEB 2026,              10.00,           5484000,             73.95,      405541800.00      
05 FEB 2026,AHCL,EQ,ANLON HEALTHCARE LIMITED ,Listed    ,05 FEB 2026,              10.00,          53151500,            123.80,     6580155700.00      
05 FEB 2026,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,27 JAN 2026,              10.00,           5473990,             23.70,      129733563.00    
